B2019 Classic Group-,6 Teams,,,,
Group A,Group B,,,,
Empire surf boys 2019 academy ,Eli7E select B2019,,,,
Empire Surf G2019 Academy,City sc southwest B2019 ,,,,
Empire Surf B2019 A-1,ALBION SC Riverside B19 Academy,,,,
,,,,,
B2018 Classic Group,8 Teams- 2 Groups of 4 (1st  vs 1st),,,,
Group A,Group B,,,,
Empire Surf B2018 Academy,Empire Surf G2018A,,,,
ELI7E FC CV B2018,Rebels B18 Sevilla,,,,
Desert Empire SURF B18 Cortes ,ELI7E Select B2018,,,,
ALBION SC Riverside B18 Academy,Empire Surf B2018 A-1,,,,
,,,,,
B2017 Premier Group,6 Teams,,,,
Group A,Group B,,,,
FC Premier B2017, Albion Riverside B2017 Premier,,,,
Empire surf B17A ,Rebels B-2017- Elite ,,,,
Empire Surf Academy North B2017 Academy,ALBION SC Riverside B17 Academy,,,,
,,,,,
B2017 Classic Group,6 Teams,,,,
Group A,Group B,,,,
Desert Empire Surf - Academy B17 ,ELI7E FC - SELECT B2017,,,,
Rebels B2017 Sevilla,Legends FC SD North B2017 FC ,,,,
Future FC B2017,Empire Surf North B2017A-1,,,,
,,,,,
B2016 Premier Group (Elite),6 Teams,,,,
Group A,Group B,,,,
ALBION SC Riverside B16 Academy EC,Desert Empire Surf B16 Academy,,,,
Empire Surf B2016 North A-1,Legends FC SD North  B2016 FC,,,,
Empire Surf B2016 Academy,Rebels B2016 Academy,,,,
,,,,,
,,,,,
B2016 Classic Group 1 (Premier),6 Teams,,,,
Group A,Group B,,,,
Cal Elite SC B2016 CS,Eli7e FC B2016 ,,,,
ALBION SC Riverside B16 Premier,Empire Surf North B2016A-2,,,,
Rebels SC B2016 Premier 1 - Rowe,SD ELI7E B2016 MORA ,,,,
City SC LE Gold B2016,TBD,Need a B2016 Flight 1/2,,,
B2016 Classic Group 2 (CLassic),6 Teams,,,,
Group A,Group B,,,,
East County Rebels B2016-want bottom flight,Albion Riverside B2016 Premier I,,,,
Desert Empire Surf B16 Blue-want bottom flight,Empire Surf B2016 North A-3,,,,
Future B2016-want bottom flight,Vista Storm B2017 Elite,,,,
,,,,,
B2015 Elite Group,4 Teams,,,,
Group A,,,,,
Rebels SC Pre-ECNL B2015 A,,,,,
Fc Premier Elite B2015 Dominguez,,,,,
Nomads B2015,,,,,
Empire surf boy 2015 academy ,,,,,
,,,,,
B2015 Premier Group,8 Teams,,,,
Group A,Group B,,,,
Desert Empire Surf Boys 2015 Blue,ELI7E FC B2015 LEGACY ,,,,
San Diego Force B2015 Academy JC,Empire Surf B2015A-1,,,,
Albion SC San Diego EC B15 Academy,Rebels SC Academy B2015,,,,
Rebels SC Pre-ECRL B2015 B,ALBION SC Riverside B15 EA II,,,,
,,,,,
B2015 Classic Group 1,6 Teams Crossover,,,,
Group A,Group B,,,,
Desert Empire Surf Boys 2015 WHITE,Future FC B15,,,,
Empire surf B2015 North Academy-1,FC Premier Elite B2015,,,,
ALBION SC Riverside B15 Premier,City SC Southwest B15 White MUR,,,,
,,,,,
B2015 Classic Group 2,6 Teams Crossover,,,,
Group A,Group B,,,,
Future FC B15 White,San Diego Force FC B2015 Academy I AO,,,,
Albion SC Riverside B2015 Premier,City SC Southwest B15 Gold Temecula -wants bottom flight,,,,
Empire Surf B2015 Academy 2,Legends FC SD North B15 Gold ,,,,
,,,,,
B2014 Elite,4 Teams,,,,
Empire Surf North B2014 Academy,,,,,
ELI7E FC B2014 Legacy,,,,,
Empire Surf Academy B2014,,,,,
Rebels B14 Pre-ECNL,,,,,
,,,,,
B2014 Premier,8 Teams,,,,
Group A,Group B,,,,
Desert Empire Surf B2014,Albion San Diego EC B2014 Flores,,,,
SD Force FC B2014 Academy JC,Desert empire surf b2014,"This team is out and refunded, need a B2014 F2 Spot",,,
Empire Surf Boys 2014 Academy 2,ALBION SC San Diego B14 Academy I ,,,,
Legends FC SD North B14 Gold,FASC B14 Garcia,,,,
,,,,,
B2014 Classic Group 1,6 Team Crossover,,,,
Group A,Group B,,,,
Vista Storm B2014 Red,Cal Elite B2014,,,,
Empire Surf B2014 Academy-1 North PP,SD Force Ortega B2014 Premier III ,,,,
ALBION SC San Diego CV B14 JA,Temecula FC B2014,,,,
,,,,,
B2014 Classic Group 2,6 Team Crossover,,,,
Group A,Group B,,,,
San Diego Force FC B2014 Academy I,City SC B14 WHT II MUR BERINGER,,,,
Future FC B2014,Empire Surf B2014A-3,,,,
Vista Storm B2014 White,City SC SW B14 Premier MUR - Strom,,,,
,,,,,
B2013 Elite Group,6 Team Crossover,,,,
Group A,Group B,,,,
Xolos B2014,Vista Storm B2013 Elite,,,,
City SC Southwest B2013 LE Premier,Empire Surf B2013 Academy Hemet,,,,
City SC Southwest B2013 EA ,Legends FC SD North B2013 NL Premier (E64),,,,
,,,,,
B2013 Premier Group,8 teams,,,,
Group A,Group B,,,,
FC Premier Elite B2013,Rebels SC B13 ECRL 2,,,,
Rebels San Diego B2013 Premier (Seans),Rebels ECNL/RL B2013,,,,
Empire Surf B2013 North Academy 1,Empire surf N. B2013 A,,,,
Future FC B2013,Sporting-Coachella B13,,,,
,,,,,
B2013 Classic  Group,6 Teams Crossover,,,,
Group A,Group B,,,,
Empire Surf B2013/2014 Academy-1,ELI7E FC B2013,,,,
ALBION Riverside B13 Premier,Sporting CA USA Perris B13 White,,,,
Temecula FC B2013,Sporting CA USA Perris B13,,,,
,,,,,
B2012 Elite Group,4 Teams,,,,
Xolos B2013,,,,,
Rebels SC B2012 ECNL ,,,,,
City SC Southwest B2012 EA,,,,,
ALBION SC Riverside B12 EA,,,,,
,,,,,
B2012 Premier Group,6 Team Crossover,,,,
Group A,Group B,,,,
Sporting CA USA Perris B12,ALBION SC San Diego EC B12 EA2,,,,
FC Premier Elite B2012 Oscar,Vista Storm 2012Black,,,,
SD Force B2012 Academy I,Rebels SC B12 ECRL 2,,,,
,,,,,
B2012 Classic Group,4 Teams,,,,
FC Premier Elite Temecula B2012,,,,,
FUTURE FC B2012W,,,,,
Albion SC San Diego EC B12 Academy ,,,,,
Desert Empire SURF B12 Premier 1 ,,,,,
,,,,,
B2011 Elite  Group,4 Teams,,,,
Xolos B2012,,,,,
ALBION SC Riverside B11 MLS II,,,,,
Empire Surf B11 E64,,,,,
Legends FC SD North B11 NL Premier (E64) ,,,,,
,,,,,
B2011 Premier Group,4 Teams,,,,
FC Premier Elite B2011 SOSA,,,,,
Pro Alliance Academy B2011,,,,,
