Division/Flight,Age Group,Gender,Birth Year,Field Size,Start Date,End Date,Match Count,Half Time Length (min),Break Time (min),Padding Time (min),Rest Period (min),Total Time (min),Format Name,Team Count,Status,Scheduled Games,Is Configured
Boys 2012 - Nike Elite,U14,Boys,2012,11v11,"Aug 15, 2025","Aug 16, 2025",2,30,5,15,120,80,Custom,4,ready,0,Yes
Boys 2012 - Nike Classic,U14,Boys,2012,11v11,"Aug 15, 2025","Aug 16, 2025",2,30,5,15,120,80,Custom,4,ready,0,Yes
Boys 2012 - Nike Premier,U14,Boys,2012,11v11,"Aug 15, 2025","Aug 16, 2025",2,30,5,15,120,80,Custom,7,ready,0,Yes
Girls 2012 - Nike Premier,U14,Girls,2012,11v11,"Aug 15, 2025","Aug 16, 2025",2,30,5,15,120,80,Custom,4,ready,0,Yes
Girls 2012 - Nike Classic,U14,Girls,2012,11v11,"Aug 15, 2025","Aug 16, 2025",2,30,5,15,120,80,Custom,4,ready,0,Yes
Girls 2012 - Nike Elite,U14,Girls,2012,11v11,"Aug 15, 2025","Aug 16, 2025",2,30,5,15,120,80,Custom,3,ready,0,Yes
Boys 2011 - Nike Premier,U15,Boys,2011,11v11,"Aug 15, 2025","Aug 16, 2025",2,30,5,15,120,80,Custom,4,ready,0,Yes
Boys 2011 - Nike Classic,U15,Boys,2011,11v11,"Aug 15, 2025","Aug 16, 2025",2,30,5,15,120,80,Custom,4,ready,0,Yes
Boys 2011 - Nike Elite,U15,Boys,2011,11v11,"Aug 15, 2025","Aug 16, 2025",2,30,5,15,120,80,Custom,4,ready,0,Yes
Girls 2011 - Nike Premier,U15,Girls,2011,11v11,"Aug 15, 2025","Aug 16, 2025",2,30,5,15,120,80,Custom,6,ready,0,Yes
Girls 2011 - Nike Elite,U15,Girls,2011,11v11,"Aug 15, 2025","Aug 16, 2025",2,30,5,15,120,80,Custom,6,ready,0,Yes
Girls 2011 - Nike Classic,U15,Girls,2011,11v11,"Aug 15, 2025","Aug 16, 2025",2,30,5,15,120,80,Custom,4,ready,0,Yes
Boys 2010 - Nike Premier,U16,Boys,2010,11v11,"Aug 15, 2025","Aug 16, 2025",2,35,5,15,120,90,Custom,8,ready,0,Yes
Boys 2010 - Nike Elite,U16,Boys,2010,11v11,"Aug 15, 2025","Aug 16, 2025",2,35,5,10,120,85,group_of_6,6,scheduled,9,Yes
Girls 2010 - Nike Premier,U16,Girls,2010,11v11,"Aug 15, 2025","Aug 16, 2025",2,35,5,15,120,90,Custom,6,ready,0,Yes
Girls 2010 - Nike Elite,U16,Girls,2010,11v11,"Aug 15, 2025","Aug 16, 2025",2,35,5,15,120,90,Custom,4,ready,0,Yes
Boys 2009 - Nike Premier,U17,Boys,2009,11v11,"Aug 15, 2025","Aug 16, 2025",2,35,5,15,120,90,Custom,6,ready,0,Yes
Boys 2009 - Nike Elite,U17,Boys,2009,11v11,"Aug 15, 2025","Aug 16, 2025",2,35,5,15,120,90,Custom,4,ready,0,Yes
Girls 2009 - Nike Elite,U17,Girls,2009,11v11,"Aug 15, 2025","Aug 16, 2025",2,35,5,15,120,90,Custom,5,ready,0,Yes
Girls 2009 - Nike Classic,U17,Girls,2009,11v11,"Aug 15, 2025","Aug 16, 2025",2,35,5,15,120,90,Custom,4,ready,0,Yes
Boys 2007 - Nike Premier,U19,Boys,2007,11v11,"Aug 15, 2025","Aug 16, 2025",2,35,5,15,120,90,Custom,6,ready,0,Yes
Boys 2007 - Nike Elite,U19,Boys,2007,11v11,"Aug 15, 2025","Aug 16, 2025",2,35,5,15,120,90,Custom,4,ready,0,Yes
Girls 2007 - Nike Elite,U19,Girls,2007,11v11,"Aug 15, 2025","Aug 16, 2025",2,35,5,15,120,90,Custom,4,ready,0,Yes
